bairro;localizacao;preco;quartos;m2;corretora;data_anuncio;pm2
Asa Sul ;SQS 405 BLOCO T REFORMADO;360000;1;35;3699;10/12/2013;10.286
Noroeste ;CLNW 10/11 NEO 1 QUARTO NOROESTE - ACEITA  FGTS;364947,17;1;42,75;12573;17/12/2013;8.537
Asa Norte ;SCLRN 716 BLOCO B ;365000;2;50;14522;29/01/2014;7.300
Sudoeste ;CLSW 300A BLOCO 02 ED. BELAS ARTES;365000;1;37,4;11502;29/01/2014;9.759
Noroeste ;SQNW 311 BLOCO C ATRIUM PLATINE;365000;1;32,25;18986;29/12/2013;11.318
Asa Sul ;SQS 405 LINDO APTO -  8408-4788;368000;1;35;19420;28/01/2014;10.514
Asa Norte ;SQN 407 BLOCO A 2. ANDAR! OTIMA LOCALIZA??O!;369000;1;48;16018;18/01/2014;7.688
Asa Norte ;SQN 314 ;370000;1;38,28;3545;29/01/2014;9.666
Asa Norte ;SHN 05 ;370000;1;37,23;14251;29/01/2014;9.938
Asa Sul ;SQS 411 ?TIMO PRE?O...;370000;2;50;7107;29/01/2014;7.400
Asa Sul ;SQS 413 BLOCO M REFORMADO E VISTA LIVRE;370000;2;49;12602;29/01/2014;7.551
Asa Sul ;SQS 408 REFORMADO, VISTA LIVRE, A. SERVI?O;370000;1;48;11983;28/01/2014;7.708
Sudoeste ;QMSW 04 UM ESPET?CULO DE DOUBLE KIT;370000;2;44;18220;25/01/2014;8.409
Asa Norte ;SCRN 712/713 ;370000;2;74;14545;13/01/2014;5.000
Asa Norte ;SCRN 716 4 ANDAR -ELEVADOR-91336434;370000;2;48;7148;07/01/2014;7.708
Asa Sul ;SQS 408 BLOCO G ;370000;1;57;5391;18/12/2013;6.491
Asa Norte ;SETOR SHTN LAKE SIDE APART HOTEL - VISTA LAGO;370000;1;37;18604;16/12/2013;10.000
Noroeste ;CLNW 10/11 LOTE B ;370000;1;33,62;10484;07/01/2014;11.005
Asa Sul ;SQS 408 LINDO APT REFORMADO, NASCENTE;375000;1;43;11983;28/01/2014;8.721
Asa Norte ;SQN 316 BLOCO K ;375000;1;53;21435;24/01/2014;7.075
Asa Norte ;SQN 316 OPORTUNIDADE!!!!;375000;1;45;18066;24/01/2014;8.333
Noroeste ;CLNW 10/11 MELHOR 01 QUARTO C/GAR...AC.CAIXA!;375000;1;42,75;7353;21/01/2014;8.772
Asa Norte ;SQN 316 ;375000;1;45;5504;20/01/2014;8.333
Asa Sul ;SQS 413 LINDA REFORMA! SALA, 01 QTO ARM?RIOS EXCTE PRE?O R$$;377000;1;48;7037;06/12/2013;7.854
Sudoeste ;CLSW 102 ?TIMO AP 2 QTS+ NASC;379000;2;64,45;11954;29/01/2014;5.881
Noroeste ;CLNW 10/11 LOTE A STYLO HOUSING & SHOP;379000;1;33,62;14522;29/01/2014;11.273
Asa Norte ;SCLRN 707 LINDO!! CONFIRA...;379000;2;47;19420;28/01/2014;8.064
Noroeste ;CLNW 10/11 STYLO HOUSING & SHOP;379000;1;33,62;218047;25/01/2014;11.273
Noroeste ;CLNW 10/11 LOTE A STYLO HOUSING & SHOP;379000;1;33,62;19176;22/01/2014;11.273
Noroeste ;CLNW 10/11 STYLO HOUSING & SHOP - APTOS DE 1 E 2 QUARTOS;379000;1;32,93;303164;13/01/2014;11.509
